"step","force_y"
0.0,0.0037290044
1000.0,0.0052084923
2000.0,0.000660628080368042
3000.0,0.0014598369598388672
4000.0,0.18081223964691162
5000.0,0.29033565521240234
6000.0,0.3246448040008545
7000.0,0.3933548927307129
8000.0,0.47653746604919434
9000.0,0.44554948806762695
10000.0,0.6225299835205078
11000.0,0.568096399307251
12000.0,0.5872607231140137
13000.0,0.6265902519226074
14000.0,0.286531925201416
15000.0,0.4511427879333496
16000.0,0.5926892757415771
17000.0,0.28281891345977783
18000.0,0.8116796016693115
19000.0,0.7146141529083252
20000.0,0.6694302558898926
21000.0,0.8053972721099854
22000.0,0.24567890167236328
23000.0,0.8458197116851807
